semester: Ganjil | kategori: Jalur Penerimaan SNBP | kegiatan: Upload Dokumen SKL | tanggal_mulai: 06 Mei 2026 | tanggal_selesai: 08 Mei 2026 | halaman: 1
semester: Ganjil | kategori: Jalur Penerimaan SNBP | kegiatan: Cetak e-KTM Jalur Penerimaan SNBP | tanggal_mulai: 06 Mei 2026 | tanggal_selesai: 10 Mei 2026 | halaman: 1
semester: Ganjil | kategori: Mahasiswa Asing Program Sarjana | kegiatan: Tes Wawancara | tanggal_mulai: 06 Mei 2027 | tanggal_selesai: - | halaman: 2
semester: Ganjil | kategori: Mahasiswa Asing Program Sarjana | kegiatan: Rapat Penentuan Kelulusan | tanggal_mulai: 07 Mei 2027 | tanggal_selesai: - | halaman: 2
semester: Genap | kategori: PMB Pascasarjana Gelombang 2 | kegiatan: Pelaksanaan UTBK Pascasarjana | tanggal_mulai: 08 Desember 2026 | tanggal_selesai: - | halaman: 4
semester: Ganjil | kategori: Jalur SMM-PTN Barat | kegiatan: Pengumuman UKT Jalur SMM-PTN Barat | tanggal_mulai: 08 Juli 2026 | tanggal_selesai: - | halaman: 1
semester: Ganjil | kategori: Jalur SMM-PTN Barat | kegiatan: Masa Sanggah UKT Jalur SMM-PTN Barat | tanggal_mulai: 08 Juli 2026 | tanggal_selesai: 09 Juli 2026 | halaman: 1
semester: Ganjil | kategori: Jalur SMM-PTN Barat | kegiatan: Pembayaran UKT Jalur SMM-PTN Barat | tanggal_mulai: 08 Juli 2026 | tanggal_selesai: 13 Juli 2026 | halaman: 1
semester: Ganjil | kategori: Jalur SMM-PTN Barat | kegiatan: Cetak e-KTM Jalur SMM-PTN Barat | tanggal_mulai: 08 Juli 2026 | tanggal_selesai: 13 Juli 2026 | halaman: 1
semester: Ganjil | kategori: Jalur Penerimaan UTBK-SNBT | kegiatan: Pengumuman UKT Jalur Penerimaan UTBK-SNBT | tanggal_mulai: 08 Juni 2026 | tanggal_selesai: - | halaman: 1
semester: Ganjil | kategori: Jalur Penerimaan UTBK-SNBT | kegiatan: Masa Sanggah UKT Jalur Penerimaan UTBK-SNBT | tanggal_mulai: 08 Juni 2026 | tanggal_selesai: 10 Juni 2026 | halaman: 1
semester: Ganjil | kategori: Jalur Penerimaan UTBK-SNBT | kegiatan: Pembayaran UKT Jalur Penerimaan UTBK-SNBT | tanggal_mulai: 08 Juni 2026 | tanggal_selesai: 12 Juni 2026 | halaman: 1
semester: Ganjil | kategori: Jalur Penerimaan UTBK-SNBT | kegiatan: Cetak e-KTM Jalur Penerimaan UTBK-SNBT | tanggal_mulai: 08 Juni 2026 | tanggal_selesai: 13 Juni 2026 | halaman: 1
semester: Genap | kategori: PMB Pascasarjana Gelombang 1 | kegiatan: Rapat Penentuan Kelulusan | tanggal_mulai: 08 Oktober 2026 | tanggal_selesai: - | halaman: 4
semester: Ganjil | kategori: PMB Pascasarjana Gelombang 1 | kegiatan: Pelaksanaan UTBK Pascasarjana | tanggal_mulai: 9-Apr-26 | tanggal_selesai: - | halaman: 2
semester: Genap | kategori: PMB Pascasarjana Gelombang 2 | kegiatan: Mengikuti Tes Wawancara | tanggal_mulai: 09 Desember 2026 | tanggal_selesai: - | halaman: 4
semester: Ganjil | kategori: Jalur SMBT UNRI, PHM & Kerjasama | kegiatan: Ujian Tulis Berbasis Komputer | tanggal_mulai: 09 Juli 2026 | tanggal_selesai: 14 Juli 2026 | halaman: 2
semester: Ganjil | kategori: Mahasiswa Asing Program Sarjana | kegiatan: Pengumuman Kelulusan | tanggal_mulai: 09 Mei 2027 | tanggal_selesai: - | halaman: 2
semester: Ganjil | kategori: Perkuliahan dan Pembelajaran | kegiatan: Pembatalan KRS Tanpa penggantian Matakuliah | tanggal_mulai: 10 Agustus 2026 | tanggal_selesai: 29 Agustus 2026 | halaman: 3
semester: Ganjil | kategori: Jalur Penerimaan SNBP | kegiatan: Verifikasi Dokumen Akademik dan Dokumen UKT | tanggal_mulai: 10-Apr-26 | tanggal_selesai: 15 April 2026 | halaman: 1
semester: Ganjil | kategori: PMB Pascasarjana Gelombang 1 | kegiatan: Mengikuti Tes Wawancara | tanggal_mulai: 10-Apr-26 | tanggal_selesai: - | halaman: 2
semester: Genap | kategori: Kegiatan Akademik Lainnya | kegiatan: Finalisasi Pelaporan data PDDIKTI Semester Ganjil | tanggal_mulai: 10-Apr-27 | tanggal_selesai: - | halaman: 5
semester: Genap | kategori: Perkuliahan dan Pembelajaran | kegiatan: Verifikasi Data Status Mahasiswa | tanggal_mulai: 10 Februari 2027 | tanggal_selesai: 14 Februari 2027 | halaman: 4
semester: Genap | kategori: Kegiatan Akademik Lainnya | kegiatan: Finalisasi Pelaporan data PDDIKTI Semester Genap | tanggal_mulai: 10 Oktober 2027 | tanggal_selesai: - | halaman: 5
semester: Ganjil | kategori: Perkuliahan dan Pembelajaran | kegiatan: Penerbitan Status Mahasiswa | tanggal_mulai: 10-Sep-26 | tanggal_selesai: - | halaman: 3
semester: Genap | kategori: Perkuliahan dan Pembelajaran | kegiatan: Pengisian Kartu Rencana Studi (KRS) mahasiswa | tanggal_mulai: 11 Januari 2027 | tanggal_selesai: 22 Januari 2027 | halaman: 4
semester: Ganjil | kategori: PMB Pascasarjana Gelombang 2 | kegiatan: Pelaksanaan UTBK Pascasarjana | tanggal_mulai: 11 Juni 2026 | tanggal_selesai: - | halaman: 2
semester: Ganjil | kategori: Perkuliahan dan Pembelajaran | kegiatan: Pra Evaluasi Mahasiswa Semester 4, 8 dan 14 | tanggal_mulai: 12 Januari 2026 | tanggal_selesai: 20 Januari 2026 | halaman: 3
semester: Ganjil | kategori: PMB Pascasarjana Gelombang 2 | kegiatan: Mengikuti Tes Wawancara | tanggal_mulai: 12 Juni 2026 | tanggal_selesai: - | halaman: 2
semester: Ganjil | kategori: PMB Pascasarjana Gelombang 2 | kegiatan: Pendaftaran | tanggal_mulai: 13-Apr-26 | tanggal_selesai: 05 Juni 2026 | halaman: 2
semester: Ganjil | kategori: PMB Profesi | kegiatan: Pendaftaran | tanggal_mulai: 13-Apr-26 | tanggal_selesai: 25 Juni 2026 | halaman: 2
