semester: Genap | kategori: Seleksi Penerimaan Mahasiswa Baru Program Pendidikan Dokter Spesialis | kegiatan: Pengumuman Kelulusan | tanggal_mulai: 24 Desember 2025 | tanggal_selesai: 24 Desember 2025 | halaman: 6
semester: Genap | kategori: Seleksi Penerimaan Mahasiswa Baru Program Pendidikan Dokter Spesialis | kegiatan: Pendaftaran Ulang | tanggal_mulai: 30 Desember 2025 | tanggal_selesai: 12 Januari 2026 | halaman: 6
semester: Genap | kategori: Seleksi Penerimaan Mahasiswa Baru Program Pendidikan Dokter Spesialis | kegiatan: Update biodata dan Pembayaran SPP | tanggal_mulai: 30 Desember 2025 | tanggal_selesai: 12 Januari 2026 | halaman: 6
semester: Genap | kategori: Perkuliahan dan Pembelajaran | kegiatan: Masa Pembayaran SPP /UKT | tanggal_mulai: 22 Desember 2025 | tanggal_selesai: 15 Januari 2026 | halaman: 6
semester: Genap | kategori: Perkuliahan dan Pembelajaran | kegiatan: Masa Pengajuan Permohonan Cuti Akademik | tanggal_mulai: 22 Desember 2025 | tanggal_selesai: 28 Februari 2026 | halaman: 6
semester: Genap | kategori: Perkuliahan dan Pembelajaran | kegiatan: Pengisian Kartu Rencana Studi (KRS) mahasiswa | tanggal_mulai: 12 Januari 2026 | tanggal_selesai: 23 Januari 2026 | halaman: 6
semester: Genap | kategori: Perkuliahan dan Pembelajaran | kegiatan: Pembatalan KRS Tanpa penggantian Matakuliah | tanggal_mulai: 02 Februari 2026 | tanggal_selesai: 13 Febuari 2026 | halaman: 6
semester: Genap | kategori: Perkuliahan dan Pembelajaran | kegiatan: Pelaksanaan Perkuliahan dan Praktikum | tanggal_mulai: 26 Januari 2026 | tanggal_selesai: 05 Juni 2026 | halaman: 6
semester: Genap | kategori: Perkuliahan dan Pembelajaran | kegiatan: Ujian Tengah Semester (UTS) | tanggal_mulai: 25 Maret 2026 | tanggal_selesai: 31 Maret 2026 | halaman: 6
semester: Genap | kategori: Perkuliahan dan Pembelajaran | kegiatan: Minggu Tenang | tanggal_mulai: 18 Mei 2026 | tanggal_selesai: 22 Mei 2026 | halaman: 6
semester: Genap | kategori: Perkuliahan dan Pembelajaran | kegiatan: Ujian Akhir Semester (UAS) | tanggal_mulai: 25 Mei 2026 | tanggal_selesai: 02 Juni 2026 | halaman: 6
